codigo_dane,desempeno_municipal
18001,66.45
18029,49.49
18094,45.89
18247,65.71
18256,69.64
18410,49.59
18460,69.36
18479,52.06
18610,62.83
18860,92.64
18150,61.63
18753,43.42
18756,53.61
18785,68.71
18205,49.28
18592,64.89
19001,56.52
19022,85.55
19050,67.1
19075,53.52
19100,44.92
19110,51.8
19130,55.62
19137,75.43
19142,49.9
19212,59.08
19290,56.94
19300,86.99
19355,40.99
19364,39.98
19392,78.66
19397,74.48
19450,53.7
19455,76.41
19473,71.04
19513,56.65
19517,43.92
19532,58.49
19533,60.22
19548,82.72
19573,84.43
19585,80.19
19622,91.25
19693,60.76
19698,66.29
19701,39.4
19743,69.09
19760,68.16
19780,36.68
19785,65.8
19807,42.35
19821,53.29
19824,68.68
19256,81.53
19318,85.84
19418,90.7
19809,88.79
19845,66.48
76001,84.08
76036,74.25
76041,86.4
76054,41.41
76111,72.42
76113,64.59
76122,72.78
76126,63.94
76130,75.97
76147,58.57
76243,64.28
76246,65.5
76248,51.95
76250,73.26
76275,56.95
76306,38.92
76318,65.28
76020,43.52
76497,62.34
76520,82.41
76563,64.28
76606,57.39
76616,62.28
76622,88.49
76670,39.36
76736,61.23
76823,52.06
76828,52.72
76834,76.3
76845,34.28
76863,82.81
76869,38.62
76890,56.31
76892,85.89
76895,75.15
76403,53.74
76400,87.13
76377,66.43
76364,70.45
76100,64.93
76233,61.91
76109,52.33
86001,72.85
86219,30.56
86320,47.13
86749,48.47
86755,20.03
86757,46.37
86760,55.14
86865,55.3
86885,42.57
86569,50.61
86568,49.69
86571,51.03
86573,38.96
52683,59.02
52685,48.88
52687,86.31
52560,58.08
52693,54.57
52565,34.1
52694,50.14
52573,61.31
52699,44.01
52585,63.69
52678,49.88
52207,51.21
52210,54.85
52215,32.46
52001,82.18
52019,38.78
52022,27.45
52224,41.18
52036,59.62
52051,42.34
52083,54.49
52110,56.82
52203,61.49
52480,85.48
52506,51.57
52720,50.41
52786,48.19
52788,71.31
52240,48.29
52254,50.37
52258,48.35
52838,52.43
52411,86.98
52885,58.14
52435,39.9
52378,57.83
52381,55.37
52260,63.97
52287,84.69
52317,48.42
52399,56.07
52320,50.26
52405,32.59
52323,70.95
52352,55.34
52354,68.91
52356,66.22
52227,39.3
52233,62.36
52256,37.51
52385,55.42
52418,60.74
52540,49.11
52612,51.43
52079,85.33
52250,45.77
52390,621.852428964253
52427,621.852428964253
52473,621.852428964253
52490,621.852428964253
52520,35.39
52621,54.48
52696,36.99
94001,62.14
94343,37.94
94663,621.852428964253
94883,621.852428964253
94884,621.852428964253
94885,621.852428964253
94886,621.852428964253
94887,621.852428964253
94888,621.852428964253
99624,32.96
99001,73.43
99524,44.03
99773,61.21
85001,78.27
85010,90.51
85015,52.27
85136,49.56
85139,73.3
85162,81.62
85225,41.61
85230,60.99
85263,65.08
85279,53.06
85300,79.64
85315,79.78
85325,65.21
85400,59.76
85410,81.51
85430,73.9
85440,81.02
85125,35.51
85250,56.32
91001,47.67
91263,621.852428964253
91405,621.852428964253
91407,621.852428964253
91430,621.852428964253
91460,621.852428964253
91530,621.852428964253
91536,621.852428964253
91540,32.8
91669,621.852428964253
91798,621.852428964253
97001,48.69
97161,35.94
97511,621.852428964253
97666,46.46
97777,621.852428964253
97889,621.852428964253
95001,56.33
95015,64.01
95025,72.17
95200,62.5
17001,88.31
17013,72.36
17486,68.09
17446,72.45
17444,54.94
17442,60.7
17433,77.67
17388,58.95
17380,57.47
17272,61.45
17174,82.52
17088,55.1
17050,54.24
17042,52.7
17495,58.96
17877,57.8
17873,60.86
17867,43.98
17777,60.76
17665,59.3
17662,50.08
17653,64.68
17616,84.04
17541,65.55
17524,71.55
17513,50.11
17614,63.95
63001,73.75
63111,47.76
63130,67.29
63190,82.43
63212,66.09
63272,85.41
63302,74.82
63401,63.55
63470,71.97
63548,53.18
63594,65.28
63690,75.33
66001,86.13
66045,65.01
66075,69.59
66088,58.54
66170,91.37
66318,60.43
66383,54.07
66400,81.69
66440,44.18
66456,73.38
66572,67.31
66594,72.58
66682,59.55
66687,72.9
05001,91.13
05101,30.52
05107,62.97
05113,62.57
05120,59.36
05093,71.16
05091,51.72
05088,72.96
05086,66.18
05079,61.57
05059,74.24
05055,53.2
05051,32.13
05044,56.54
05042,77.52
05040,57.71
05038,61.07
05036,36.08
05034,50.79
05031,70.04
05030,44.31
05021,51.67
05004,22.85
05002,39.37
05895,62.29
05893,66.8
05890,41.83
05887,58.82
05885,40.92
05861,61.34
05858,76.31
05856,57.38
05854,75.48
05842,41.53
05837,67.26
05819,50.7
05809,81.12
05792,69.05
05790,41.01
05789,48.82
05761,54.68
05756,43.07
05736,48.77
05697,82.3
05690,57.54
05686,75.71
05679,66.95
05306,72.4
05282,53.11
05266,95.41
05264,64.17
05250,61.0
05240,27.22
05237,65.94
05212,77.69
05209,74.55
05206,70.41
05197,68.6
05190,59.58
05172,53.24
05154,70.91
05150,79.35
05148,76.6
05147,73.28
05145,29.82
05142,71.84
05138,72.18
05134,621.852428964253
05129,66.91
05125,64.42
05674,47.97
05670,87.42
05667,35.96
05665,39.35
05664,63.1
05660,54.59
05659,36.4
05658,35.74
05656,81.84
05652,62.75
05649,61.75
05647,58.9
05642,51.72
05628,59.48
05615,90.25
05607,88.15
05604,58.35
05591,50.39
05585,60.94
05579,48.44
05576,71.21
05543,19.18
05541,69.29
05501,50.43
05495,50.54
05490,66.89
05483,66.36
05480,43.32
05467,59.29
05440,80.35
05425,33.43
05411,45.12
05400,39.66
05390,57.29
05376,74.74
05368,61.79
05364,70.55
05360,95.69
05353,73.58
05347,52.86
05321,47.66
05318,84.92
05315,94.95
05313,49.1
05310,48.46
05308,63.97
05234,71.65
05284,53.01
05361,81.5
05847,43.74
05475,46.02
05873,44.37
05045,61.04
27615,82.33
27001,69.83
27006,48.78
27025,25.74
27050,48.65
27073,69.11
27075,93.59
27077,61.67
27099,50.61
27135,75.4
27150,60.99
27160,76.26
27205,80.03
27245,58.56
27250,61.47
27361,86.01
27372,71.65
27413,34.98
27425,87.62
27430,85.83
27450,85.61
27491,73.3
27495,77.83
27580,86.13
27600,91.86
27660,57.08
27745,87.55
27787,83.68
27800,621.852428964253
27810,75.06
52835,34.76
23001,82.49
23068,29.18
23079,52.02
23090,46.51
23162,56.33
23168,50.18
23182,49.94
23189,43.57
23300,33.93
23350,43.48
23417,59.77
23419,77.09
23464,21.63
23500,48.03
23555,37.75
23570,64.77
23574,41.21
23586,57.87
23660,44.5
23670,43.15
23672,51.82
23675,56.86
23678,64.66
23682,55.3
23686,51.37
23815,33.71
23855,65.58
23466,72.3
23580,30.96
23807,63.87
08001,84.07
08078,68.24
08137,56.69
08141,61.81
08296,88.22
08372,64.42
08421,48.04
08433,44.85
08436,76.56
08520,55.12
08549,59.87
08558,61.0
08560,39.34
08573,80.49
08606,49.43
08634,79.4
08638,53.44
08675,41.6
08685,70.14
08758,68.99
08770,47.46
08832,75.88
08849,75.85
13001,95.43
13006,38.26
13030,70.43
13042,50.1
13052,31.1
13062,64.32
13074,94.03
13140,40.81
13160,91.03
